2024-12-20 10:17:16 [http-nio-8081-exec-5] INFO  org.reflections.Reflections - Reflections took 27 ms to scan 1 urls, producing 6 keys and 20 values
2024-12-20 10:17:23 [MQTT Call: dfahjklasdjf] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/s/nhnacademy/b/gyeongnam_campus/p/server_room/d/24e124136d151368/n/입구/e/humidity'에서 메시지 수신: {"time":1734657443232,"value":15}
2024-12-20 10:17:23 [MQTT Call: dfahjklasdjf] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/s/nhnacademy/b/gyeongnam_campus/p/server_room/d/24e124136d151368/n/입구/g/24e124fffef79304/e/lora'에서 메시지 수신: {"time":1734657443232,"value":{"dr":0,"rssi":-60,"snr":9.2,"channel":6,"frequency":923300000,"sf":12}}
2024-12-20 10:17:23 [MQTT Call: dfahjklasdjf] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/s/nhnacademy/b/gyeongnam_campus/p/server_room/d/24e124136d151368/n/입구/g/24e124fffef5dccc/e/lora'에서 메시지 수신: {"time":1734657443232,"value":{"dr":0,"rssi":-46,"snr":10.5,"channel":6,"frequency":923300000,"sf":12}}
2024-12-20 10:17:24 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:24 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 메시지 ID: d99a40e5-1870-4735-8c92-876ae40f53b8 - 처리 시작
2024-12-20 10:17:24 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:24 [Thread-5] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:24 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 기본 메시지 핸들러: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/tvoc, {"time":1734657437038,"value":239}}
2024-12-20 10:17:24 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 메시지 ID: d99a40e5-1870-4735-8c92-876ae40f53b8 - 처리 완료
2024-12-20 10:17:24 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:24 [Thread-7] INFO  com.samsa.node.in.DebugNode - Node[00abe26c-eae5-49c3-8cc2-82982088e481] - Payload: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/tvoc, {"time":1734657437038,"value":239}}
2024-12-20 10:17:24 [Thread-6] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: aefa47b7-772d-4be7-b79c-a183d21a53da
2024-12-20 10:17:24 [Thread-7] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:24 [Thread-6] INFO  com.samsa.core.port.InPort - 메세지 생김
2024-12-20 10:17:24 [MQTT Call: dfahjklasdjf] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/s/nhnacademy/b/gyeongnam_campus/p/hive/d/24e124126c452091/sp/farm/n/스마트팜/e/temperature'에서 메시지 수신: {"time":1734657444173,"value":19.3}
2024-12-20 10:17:24 [MQTT Call: dfahjklasdjf] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/s/nhnacademy/b/gyeongnam_campus/p/hive/d/24e124126c452091/sp/farm/n/스마트팜/g/24e124fffef79304/e/lora'에서 메시지 수신: {"time":1734657444173,"value":{"dr":2,"rssi":-77,"snr":9.8,"frequency":922100000,"sf":10}}
2024-12-20 10:17:24 [MQTT Call: dfahjklasdjf] INFO  com.samsa.node.out.MqttInNode - 토픽 'data/s/nhnacademy/b/gyeongnam_campus/p/hive/d/24e124126c452091/sp/farm/n/스마트팜/g/24e124fffef5dccc/e/lora'에서 메시지 수신: {"time":1734657444173,"value":{"dr":2,"rssi":-51,"snr":11.8,"frequency":922100000,"sf":10}}
2024-12-20 10:17:25 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 완료. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:25 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 메시지 ID: 08ea820b-ff64-4a4b-8f87-5216651f1e53 - 처리 시작
2024-12-20 10:17:25 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 기본 메시지 핸들러: {topic: data/s/nhnacademy/b/gyeongnam_campus/p/class_a/d/24e124128c067999/sp/입구/n/입구/e/temperature, {"time":1734657437038,"value":20.8}}
2024-12-20 10:17:25 [Thread-5] INFO  com.samsa.core.node.InOutNode - 노드 실행 시작. NodeId: 81ab0e38-b352-4e7a-8c22-76b519915dac
2024-12-20 10:17:25 [Thread-6] INFO  com.samsa.node.inout.FunctionNode - 메시지 ID: 08ea820b-ff64-4a4b-8f87-5216651f1e53 - 처리 완료
2024-12-20 10:17:25 [Thread-5] INFO  com.samsa.core.port.InPort - 메세지 생김
